Item_no,Description,BRANCH,QUANTITY_IN_PCS, UNIT_PRICE , AMOUNT ,MONTH
ITM02200,DUOLAC SYP 200ML,EMBU,1,480,480,JUNE
ITM09394,ALCOSED SYP 100ML,EMBU,1,51.26,51.26,FEBRUARY
ITM03171,HEMOTON S SYP 250ML,EMBU,2,169.15,338.3,JUNE
ITM03856,LUMIGAN EYE DROPS 0.03% 3ML,EMBU,2,"2,046.00","4,092.00",JANUARY
ITM09534,OPTIVE FUSION EYE DROPS 10ML,EMBU,2,"1,341.00","2,682.00",MAY
ITM01641,COMBIWAVE SF-125,EMBU,3,"1,265.00","3,795.00",FEBRUARY
ITM04446,NEURORUBINE INJ,EMBU,3,235.78,707.35,MARCH
ITM05504,SCOTTS ORIGINAL 200ML,EMBU,4,812.94,"3,251.78",JANUARY
ITM05885,TERBEX CREAM 15GM,EMBU,4,463,"1,852.00",APRIL
ITM00848,BONGARD 70MG TABS 4S,EMBU,4,188.88,755.54,MARCH
ITM08682,TERBIDERM CREAM 10G,EMBU,5,409.03,"2,045.17",FEBRUARY
ITM00058,ACNE AID SOAP,EMBU,5,960.57,"4,802.83",MAY
ITM01470,CLAVULIN 228/5ML SYRUP,EMBU,5,808,"4,040.00",JUNE
ITM02670,FLAGYL SYP 100ML ORIGINAL,EMBU,5,818,"4,090.00",JUNE
ITM05623,SOFTEAL SOLUTION 10ML,EMBU,5,240,"1,200.00",MAY
ITM07237,SOLUMOL 1G/100ML INFUSION,EMBU,5,426,"2,130.00",JANUARY
ITM07809,WOODWARD`S PARACETAMOL SYRUP 100ML,EMBU,5,129,645,JUNE
ITM08663,AUROMIDE PLUS EYE DROPS 5ML,EMBU,5,256.29,"1,281.44",JANUARY
ITM09233,TOBI-FM EYE DROPS 5ML,EMBU,5,258,"1,290.00",APRIL
ITM06496,ZEVAC SYP 60ML,EMBU,5,250,"1,250.00",MARCH
ITM08058,G DERM CREAM 20GM,EMBU,5,190,950,MARCH
ITM08817,MASCULAN LUBRICANT GEL 75ML STRAWBERRY ,EMBU,5,256.29,"1,281.44",MARCH
ITM03542,KLENZIT C GEL 15GM,EMBU,6,"1,026.00","6,156.00",JUNE
